date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2023.09.24,5점만점에 3점,,,한달이상사용,[옵션] 03 블러쉬드피치,"여쿨라이트
단독발색하면 색은 예뻐요!
탕후루립이랑은 좀 다르구
립글로즈?인데 끈적임은 덜한??
머리카락은 많이 붙습니당ㅎㅎ
입술 두꺼우신 분이나 필러 맞으신 분들에게만 추천할게요! 제가 주름이 많아서 그런가 입술상태 좋을 때만 잘발리네용ㅜㅜ",0,보통이에요,보통이에요,다소 아쉬워요,아주 촉촉해요,
2023.08.18,5점만점에 3점,,,,[옵션] 03 블러쉬드피치,"색상 하나 보고 구매했는데 제 입술이 진한편이라 그런지 생각보다 탁하고 채도가 높았습니다. 그리고 이상하게 푸른기가 느껴졌어요 색 잘못 온 줄 알았습니다.. 착색도 좀 있어서 바를 수록 진해져요
발림감은 나쁘진 않은데 입술 안쪽에 하얗게 뭉칩니다
후기가 좋아서 기대했는데 전체적으로 아쉬워요",0,보통이에요,보통이에요,다소 아쉬워요,보통이에요,
2023.08.12,5점만점에 3점,,,,[옵션] 06 데일리모브,"너는 뭔데 왜그리 하얗냐 하는 말을 자주 듣고
쿠션은 21호를 바르는 사람 입니다
저는 입술에 베이스를 하지 않아요
자꾸 덧바르다보면 파국이다....라는 색감이 올라옴니다
먼지나방님 쇼츠보고 산건데, 진하고 웜한포돗기가 올라오며 입술선 안쪽으로 더 진하게 파국의 선이 져요
착색되는걸 감안한다면 가을 분들이 쓰시기에 분위기 잇겟다 싶기도 합니다?
자주 덧바르지만 않으면 예쁜물탄핑크포도빛 입니다😅",0,다소 아쉬워요,보통이에요,보통이에요,아주 촉촉해요,
2023.07.02,5점만점에 3점,,,,[옵션] 01 빈티지애플,"1번 샀는데 사진이랑 집접 바르는거랑 색 차이가 많이 나요..
잘못 배송온것도 아니고 공장에서 다른색을 채운 실수일 확률은 없겠죠..?😂😂 그래도 어떻게든 잘 써보고 있습니다
그리고 물처럼 반짝이던데 직접 발라보니까 조금 지나면
푸석 해져있어요 나만 그런가 아진짜 ㅠㅠ",0,보통이에요,지속이 오래돼요,다소 아쉬워요,보통이에요,
2023.06.18,5점만점에 3점,,,,[옵션] 01 빈티지애플,"고명도 저채도 여쿨라인데, 생각했던 발색보다 조금 더 어두웠어요 상세페이지보다 살짝 더 어두운것 같아요
그래도 저한테 못바를 정도는 아이었지만 손이 덜 갈것 같긴해요
제형은 너무 괜찮았어요
수분감 많은 오일 립? 오일립이라 끈적끈적 할줄 알았는데
전 수분감이 더 느껴졌어요.
이 틴트 미스트로 치면 달바 미스트? 가 생각나네요.",0,다소 아쉬워요,보통이에요,아주 만족해요,보통이에요,
2025.01.18,5점만점에 3점,,,,[옵션] 13 코숏진주코랄,살몬색 틴트 찾다가 산건데 생각보다 별로에요 연어색 찾으시면 굳이.. 탁해져서 봄라는 절대 쓰면안되고 별로 티도 안나요 광택도 오래안감,0,아주 만족해요,보통이에요,아주 만족해요,보통이에요,
2024.12.29,5점만점에 3점,"건성, 여름쿨톤",,재구매,[옵션] 06 데일리모브,이거 좋고 색깔도 너무너무 이쁜데 저한테는 요거트현상이 좀 심햇어요,0,보통이에요,보통이에요,보통이에요,보통이에요, 여름쿨톤
2024.11.01,5점만점에 3점,,,,[옵션] 12 파이어리로즈,완전 겨쿨 색 예쁘긴 한데 시간이 지나면 지날 수록 핑크색으로 변해요.. 웜톤 분들은 딴 거 사시길...ㅠ,2,보통이에요,보통이에요,아주 만족해요,아주 촉촉해요,
2024.10.18,5점만점에 3점,건성,,,[옵션] 06 데일리모브,"제 입술에는 화면보다 더 밝게 올라왔던 것 같아요 !
봄웜분들에게는 데일리로 사용하기 좋을 것 같고 톤이 막 화사하고 그런 게 아니라서 뉴트럴톤이신 분들도 사용하셔도 될 것 같아요",0,보통이에요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,
2024.10.12,5점만점에 3점,,,한달이상사용,[옵션] 03 블러쉬드피치,시간이 지날수록 주황끼가 생기는 고런.. 립 .. 웜쿨 가리지않고 쓸 수 있어 좋지만 언제 써야할지.. 애매한? ㅜㅜ,0,보통이에요,예상보다 짧아요,아주 만족해요,아주 촉촉해요,
2024.10.10,5점만점에 3점,"복합성, 여름쿨톤, 민감성, 트러블",,한달이상사용,[옵션] 14 하트핑크다이아,촉촉한 정도 적당하고 내용물 양도 무난한데 손이 잘 안가요..,0,다소 아쉬워요,보통이에요,아주 만족해요,아주 촉촉해요, 여름쿨톤
